Expediente_INVIMA,principio_activo,concentracion,unidad_base,unidad_de_dispensacion,nombre_comercial,fabricante,medicamento,canal,precio_por_tableta,factoresprecio,numerofactor
20037936,rosuvastatina y ezetimiba,rosuvastatina 10 mg + ezetimiba 10 mg,mg,Tableta o cápsula,Rosuvax,Mega Labs,Rosuvax (Mega Labs) - Cada tableta contiene: rosuvastatina 10 mg + ezetimiba 10 mg,Comercial,"5,937.78",Bajo,1
20037986,candesartan,candesartan 32 mg + candesartan 5 mg,mg,Tableta o cápsula,Candam,Lafrancol,Candam (Lafrancol) - Cada tableta contiene: candesartan 32 mg + candesartan 5 mg,Comercial,"5,540.43",Medio,2
20038055,candesartan,candesartan 16 mg + candesartan 5 mg,mg,Tableta o cápsula,Candam,Lafrancol,Candam (Lafrancol) - Cada tableta contiene: candesartan 16 mg + candesartan 5 mg,Comercial,"5,130.00",Medio,2
20038056,amlodipino,amlodipino 16 mg + amlodipino 10 mg,mg,Tableta o cápsula,Candam,Lafrancol,Candam (Lafrancol) - Cada tableta contiene: amlodipino 16 mg + amlodipino 10 mg,Comercial,"5,386.53",Medio,2
20038234,nomegestrol y estradiol,"acetato de nomegestrol 2,5 mg + estradiol 1,5 mg",mg,Tableta o cápsula,Zoely,Merck Sharp Dome,"Zoely (Merck Sharp Dome) - Cada tableta contiene: acetato de nomegestrol 2,5 mg + estradiol 1,5 mg",Comercial,957.83,Medio,2
20038383,montelukast,montelukast 10 mg,mg,Tableta o cápsula,Kastamon,Sandoz,Kastamon (Sandoz) - Cada tableta contiene: montelukast 10 mg,Comercial,"1,033.33",Bajo,1
20038428,timolol,timolol 5 mg,ml,Solución o suspensión oftálmica,Prestiblock,Blaskov,Prestiblock (Blaskov) - frasco 5 ml - Cada 1 ml contiene: timolol 5 mg,Comercial,"6,399.91",Bajo,1
20038476,omeprazol,omeprazol 20 mg,mg,Tableta o cápsula,Omeprazol,Colmed,Omeprazol (Colmed) - Cada capsula contiene: omeprazol 20 mg,Comercial,184.80,Bajo,1
20038520,acetaminofen,acetaminofen 500 mg,mg,Tableta o cápsula,Sanafen,Lebriut,Sanafen (Lebriut) - Cada tableta contiene: acetaminofen 500 mg,Comercial,108.55,Bajo,1
20038735,meloxicam,"meloxicam 20 mg + meloxicam 7,5 mg",mg,Tableta o cápsula,Rumonal,Legrand,"Rumonal (Legrand) - Cada capsula contiene: meloxicam 20 mg + meloxicam 7,5 mg",Comercial,"3,466.67",Medio,2
20038752,acido micofenolico,acido micofenolico   500 mg,mg,Tableta o cápsula,Micofenolato De Mofetilo,Sandoz,Micofenolato De Mofetilo (Sandoz) - Cada tableta contiene: acido micofenolico   500 mg,Comercial,"1,570.00",Bajo,1
20038756,ibuprofeno,ibuprofeno 2000 mg,ml,Solución o suspensión oral,Suprifeno,Lebriut,Suprifeno (Lebriut) - frasco 60 ml - Cada 100 ml contiene: ibuprofeno 2000 mg,Comercial,"3,134.71",Bajo,1
20038763,pantoprazol,pantoprazol 20 mg,mg,Tableta o cápsula,Gamo,Emcure,Gamo (Emcure) - Cada tableta contiene: pantoprazol 20 mg,Comercial,"7,295.07",Alto,3
20038780,macrogol,macrogol 100 g,g,Polvo para reconstituir a Solución o suspensión oral,Evalax,Farma,Evalax (Farma) - frasco 250 g - Cada 100 g contiene: macrogol 100 g,Comercial,"55,760.92",Medio,2
20038827,dienogest,dienogest 2 mg,mg,Tableta o cápsula,Dienomet,Lafrancol,Dienomet (Lafrancol) - Cada tableta contiene: dienogest 2 mg,Comercial,"2,941.55",Medio,2
20038945,prucaloprida,prucaloprida 2 mg,mg,Tableta o cápsula,Resolor,Janssen,Resolor (Janssen) - Cada tableta contiene: prucaloprida 2 mg,Comercial,"5,214.00",Medio,2
20038991,duloxetina,duloxetina 30 mg,mg,Tableta o cápsula de liberación modificada,Duxetina,Bussié,Duxetina (Bussié) - Cada capsula contiene: duloxetina 30 mg,Comercial,"1,101.57",Medio,2
20039014,pregabalina,pregabalina 150 mg,mg,Tableta o cápsula,Legabin,Legrand,Legabin (Legrand) - Cada capsula contiene: pregabalina 150 mg,Comercial,"2,522.92",Alto,3
20039017,pregabalina,pregabalina 75 mg,mg,Tableta o cápsula,Legabin,Legrand,Legabin (Legrand) - Cada capsula contiene: pregabalina 75 mg,Comercial,"1,287.68",Alto,3
20039073,calcio gluconato,calcio gluconato 940 mg,ml,Solución o suspensión inyectable,Gluconato De Calcio,Braun Melsungen,Gluconato De Calcio (Braun Melsungen) - ampolla 10 ml - Cada 10 ml contiene: calcio gluconato 940 mg,Comercial,922.00,Medio,2
20039083,montelukast,montelukast 5 mg,mg,Tableta o cápsula,Kastamon,Sandoz,Kastamon (Sandoz) - Cada tableta contiene: montelukast 5 mg,Comercial,833.33,Medio,2
20039088,aflibercept,aflibercept 2 mg,ml,Solución o suspensión inyectable,Eylia,Bayer,"Eylia (Bayer) - jeringa prellenada 0,177 ml - Cada 0,177 ml contiene: aflibercept 2 mg",Comercial,"2,865,363.00",Medio,2
20039088,aflibercept,aflibercept 2 mg,ml,Solución o suspensión inyectable,Eylia,Bayer,"Eylia (Bayer) - jeringa prellenada 0,177 ml - Cada 0,177 ml contiene: aflibercept 2 mg",Comercial,"2,865,363.00",Medio,2
20039245,complejo b,complejo b 100 mg + complejo b 100 mg + complejo b 10 mg,ml,Solución o suspensión inyectable,Neurobion,Procter & Gamble,Neurobion (Procter & Gamble) - jeringa prellenada 2 ml - Cada 2 ml contiene: complejo b 100 mg + complejo b 100 mg + complejo b 10 mg,Comercial,"682,820.00",Alto,3
20039341,ticagrelor,ticagrelor 90 mg,mg,Tableta o cápsula,Brilinta,Astrazeneca,Brilinta (Astrazeneca) - Cada tableta contiene: ticagrelor 90 mg,Comercial,"3,435.00",Medio,2
20039346,montelukast,montelukast 4 mg,mg,Polvos o granulados,Airomed,Novamed,Airomed (Novamed) - Cada sobre contiene: montelukast 4 mg,Comercial,"4,355.18",Bajo,1
20039358,valsartan,valsartan 160 mg,mg,Tableta o cápsula,Diovan,Novartis,Diovan (Novartis) - Cada tableta contiene: valsartan 160 mg,Comercial,"1,525.00",Alto,3
20039359,valsartan,valsartan 80 mg,mg,Tableta o cápsula,Diovan,Novartis,Diovan (Novartis) - Cada tableta contiene: valsartan 80 mg,Comercial,509.03,Bajo,1
20039445,metformina,metformina 850 mg,mg,Tableta o cápsula de liberación modificada,Predial,Silanes,Predial (Silanes) - Cada tableta contiene: metformina 850 mg,Comercial,"2,927.35",Medio,2
20039446,metformina y sulfonilureas,glimepirida 4 mg + metformina 1000 mg,mg,Tableta o cápsula,Metglital,Silanes,Metglital (Silanes) - Cada tableta contiene: glimepirida 4 mg + metformina 1000 mg,Comercial,"2,360.29",Bajo,1
20039447,metformina y sulfonilureas,glimepirida 2 mg + metformina 1000 mg,mg,Tableta o cápsula,Metglital,Silanes,Metglital (Silanes) - Cada tableta contiene: glimepirida 2 mg + metformina 1000 mg,Comercial,"1,748.06",Medio,2
20039450,citicolina,citicolina 250 mg,mg,Tableta o cápsula,Complegel,Siegfried,Complegel (Siegfried) - Cada tableta contiene: citicolina 250 mg,Comercial,"2,787.24",Medio,2
20039585,yodopovidona,yodopovidona 8 g,ml,Solución o suspensión bucal,Iodoplus,Coaspharma,Iodoplus (Coaspharma) - frasco 120 ml - Cada 100 ml contiene: yodopovidona 8 g,Comercial,"8,743.58",Medio,2
20039588,electrolitos con carbohidratos rehidratacion oral,electrolitos con carbohidratos rehidratacion oral,ml,Solución o suspensión oral,Hidraplus 75 Con Zinc,Tecnoquimicas,Hidraplus 75 Con Zinc (Tecnoquimicas) - frasco 400 ml - Cada 100 ml contiene: electrolitos con carbohidratos rehidratacion oral,Comercial,"8,147.09",Alto,3
20039614,yodopovidona,yodopovidona 8 g,ml,Solución o suspensión tópica,Iodoplus,Coaspharma,Iodoplus (Coaspharma) - frasco 60 ml - Cada 100 ml contiene: yodopovidona 8 g,Comercial,"6,711.50",Medio,2
20039622,gadoteridol,"gadoteridol 279,3 mg",ml,Solución o suspensión inyectable,Prohance,Bracco Suisse,"Prohance (Bracco Suisse) - vial 15 ml - Cada 1 ml contiene: gadoteridol 279,3 mg",Comercial,"69,624.10",Medio,2
20039643,mesalazina,mesalazina 1500 mg,g,Polvos o granulados,Salofalk,Dr Falk Pharma,"Salofalk (Dr Falk Pharma) - sobre 2,8 g - Cada 2,8 g contiene: mesalazina 1500 mg",Comercial,"3,531.00",Medio,2
20039647,gluconato de clorhexidina,gluconato de clorhexidina 70 ml + gluconato de clorhexidina 2 g,ml,Solución o suspensión tópica,Wescohex 270,Electrowest,Wescohex 270 (Electrowest) - frasco 60 ml - Cada 100 ml contiene: gluconato de clorhexidina 70 ml + gluconato de clorhexidina 2 g,Comercial,"6,014.89",Medio,2
20039653,tadalafil,tadalafil 20 mg,mg,Tableta o cápsula,Tadalafilo,La Sante,Tadalafilo (La Sante) - Cada tableta contiene: tadalafil 20 mg,Comercial,"17,062.42",Medio,2
20039674,yodopovidona,yodopovidona 10 g,ml,Solución o suspensión tópica,Iodoplus,Coaspharma,Iodoplus (Coaspharma) - frasco 60 ml - Cada 100 ml contiene: yodopovidona 10 g,Comercial,"6,723.67",Medio,2
20039712,naproxeno,naproxeno 275 mg,mg,Tableta o cápsula,Apronax,Bayer,Apronax (Bayer) - Cada capsula contiene: naproxeno 275 mg,Comercial,"1,560.09",Medio,2
20039728,acetaminofen,acetaminofen 500 mg,mg,Tableta o cápsula,Acetaminofen,Biofluidos & Farma,Acetaminofen (Biofluidos & Farma) - Cada tableta contiene: acetaminofen 500 mg,Comercial,873.33,Alto,3
20039730,cloruro de potasio,cloruro de potasio 20 meq + cloruro de potasio 20 meq,ml,Solución o suspensión inyectable,Cloruro De Potasio,Corpaul,Cloruro De Potasio (Corpaul) - bolsa 100 ml - Cada 100 ml contiene: cloruro de potasio 20 meq + cloruro de potasio 20 meq,Comercial,"2,417.67",Medio,2
20039756,anastrozol,anastrozol 1 mg,mg,Tableta o cápsula,Anastrozol,Sandoz,Anastrozol (Sandoz) - Cada tableta contiene: anastrozol 1 mg,Comercial,600.00,Bajo,1
20039772,budesonida,budesonida 2 mg,dosis,Aerosoles,Budenofalk,Dr Falk Pharma,Budenofalk (Dr Falk Pharma) - aerosol 14 dosis - Cada 1 dosis contiene: budesonida 2 mg,Comercial,"301,005.00",Medio,2
20039942,citrato de calcio y vitamina d3,vitamina d3 800 ui + citrato de calcio 315 mg,ui,Tableta o cápsula,Calcibon D,Farma,Calcibon D (Farma) - Cada tableta contiene: vitamina d3 800 ui + citrato de calcio 315 mg,Comercial,"1,789.54",Medio,2
20040082,fenitoina,"fenitoina 2,5 g",ml,Solución o suspensión oral,Epamin,Pfizer,"Epamin (Pfizer) - frasco 240 ml - Cada 100 ml contiene: fenitoina 2,5 g",Comercial,"31,322.50",Medio,2
20040112,deflazacort,deflazacort 6 mg,mg,Tableta o cápsula,Defal,Faes Farma,Defal (Faes Farma) - Cada tableta contiene: deflazacort 6 mg,Comercial,785.50,Medio,2
20040113,deflazacort,deflazacort 30 mg,mg,Tableta o cápsula,Defal,Faes Farma,Defal (Faes Farma) - Cada tableta contiene: deflazacort 30 mg,Comercial,"4,168.70",Alto,3
20040482,fluconazol y secnidazol,fluconazol 75 mg + secnidazol 1000 mg,mg,Tableta o cápsula,Flucifem,Synthesis,Flucifem (Synthesis) - Cada tableta contiene: fluconazol 75 mg + secnidazol 1000 mg,Comercial,"17,052.95",Bajo,1
20040581,dexibuprofeno,dexibuprofeno 1 g,ml,Solución o suspensión oral,Taflax,Closter Pharma,Taflax (Closter Pharma) - frasco 60 ml - Cada 100 ml contiene: dexibuprofeno 1 g,Comercial,"17,008.33",Medio,2
20040649,bisoprolol,bisoprolol 5 mg + bisoprolol 10 mg,mg,Tableta o cápsula,Concor Am,Merck,Concor Am (Merck) - Cada tableta contiene: bisoprolol 5 mg + bisoprolol 10 mg,Comercial,"5,222.80",Medio,2
20040666,mebeverina,mebeverina 1 g,ml,Solución o suspensión oral,Duspatalin,Lafrancol,Duspatalin (Lafrancol) - frasco 100 ml - Cada 100 ml contiene: mebeverina 1 g,Comercial,"48,975.50",Medio,2
20040672,electrolitos con carbohidratos rehidratacion oral,electrolitos con carbohidratos rehidratacion oral,g,Polvo para reconstituir a Solución o suspensión oral,Enersal,Rociphar,Enersal (Rociphar) - Cada sobre contiene: electrolitos con carbohidratos rehidratacion oral,Comercial,929.44,Alto,3
20040729,fenilefrina combinaciones,fenilefrina combinaciones,mg,Tableta o cápsula,Noraver G Fast Total,Tecnoquimicas,Noraver G Fast Total (Tecnoquimicas) - Cada capsula contiene: fenilefrina combinaciones,Comercial,"2,367.58",Alto,3
20040731,ibuprofeno,ibuprofeno 400 mg + ibuprofeno 65 mg,mg,Tableta o cápsula,Ibuflash Uf,Tecnoquimicas,Ibuflash Uf (Tecnoquimicas) - Cada capsula contiene: ibuprofeno 400 mg + ibuprofeno 65 mg,Comercial,"1,721.63",Medio,2
20040819,ibuprofeno,ibuprofeno 65 mg + ibuprofeno 200 mg,mg,Tableta o cápsula,Dolorsin,Novamed,Dolorsin (Novamed) - Cada capsula contiene: ibuprofeno 65 mg + ibuprofeno 200 mg,Comercial,"1,570.56",Medio,2
20040898,apixaban,"apixaban 2,5 mg",mg,Tableta o cápsula,Eliquis,Pfizer,"Eliquis (Pfizer) - Cada tableta contiene: apixaban 2,5 mg",Comercial,"4,208.00",Medio,2
20041089,bifonazol,bifonazol 1 g,g,Cremas o geles o ungüentos o pomadas o pastas o jaleas,Unesia,Genoma,Unesia (Genoma) - tubo 20 g - Cada 100 g contiene: bifonazol 1 g,Comercial,"23,105.50",Bajo,1
20041206,orlistat,orlistat 120 mg,mg,Tableta o cápsula,Lipogras,Novamed,Lipogras (Novamed) - Cada capsula contiene: orlistat 120 mg,Comercial,"3,479.89",Alto,3
20041469,rosuvastatina,rosuvastatina 40 mg,mg,Tableta o cápsula,Rosuvina Legrand,Legrand,Rosuvina Legrand (Legrand) - Cada tableta contiene: rosuvastatina 40 mg,Comercial,"2,674.53",Bajo,1
20041471,rosuvastatina,rosuvastatina 20 mg,mg,Tableta o cápsula,Rosuvina Legrand,Legrand,Rosuvina Legrand (Legrand) - Cada tableta contiene: rosuvastatina 20 mg,Comercial,"1,875.00",Bajo,1
20041473,rosuvastatina,rosuvastatina 10 mg,mg,Tableta o cápsula,Rosuvina Legrand,Legrand,Rosuvina Legrand (Legrand) - Cada tableta contiene: rosuvastatina 10 mg,Comercial,"1,875.00",Bajo,1
20041494,esomeprazol,esomeprazol 40 mg,mg,Tableta o cápsula,Esoz,Galeno Quimica,Esoz (Galeno Quimica) - Cada capsula contiene: esomeprazol 40 mg,Comercial,"5,423.11",Medio,2
20041687,sodio fosfato,sodio fosfato 6 g + sodio fosfato 16 g,ml,Solución o suspensión rectal,Enema Rectal De Fosfatos De Sodio,Corpaul,Enema Rectal De Fosfatos De Sodio (Corpaul) - bolsa 133 ml - Cada 100 ml contiene: sodio fosfato 6 g + sodio fosfato 16 g,Comercial,153.47,Medio,2
20041735,pregabalina,pregabalina 50 mg,mg,Tableta o cápsula,Lyrica,Pfizer,Lyrica (Pfizer) - Cada capsula contiene: pregabalina 50 mg,Comercial,860.04,Medio,2
20041740,metildopa (racemica),metildopa 250 mg,mg,Tableta o cápsula,Alfametildopa,Memphis,Alfametildopa (Memphis) - Cada tableta contiene: metildopa 250 mg,Comercial,419.27,Bajo,1
20041822,acetaminofen,acetaminofen 500 mg,mg,Tableta o cápsula,Cronofen,Novamed,Cronofen (Novamed) - Cada tableta contiene: acetaminofen 500 mg,Comercial,377.23,Medio,2
20041831,mesalazina,mesalazina 3000 mg,g,Polvos o granulados,Salofalk,Dr Falk Pharma,"Salofalk (Dr Falk Pharma) - sobre 5,8 g - Cada 5,8 g contiene: mesalazina 3000 mg",Comercial,"7,062.00",Medio,2
20041864,ketamina,ketamina 500 mg,ml,Solución o suspensión inyectable,Ketamina,Ryan,Ketamina (Ryan) - vial 10 ml - Cada 10 ml contiene: ketamina 500 mg,Comercial,"14,333.33",Alto,3
20041981,mesalazina,mesalazina 500 mg,mg,Tableta o cápsula,Mecolzine,Faes Farma,Mecolzine (Faes Farma) - Cada tableta contiene: mesalazina 500 mg,Comercial,"1,019.48",Alto,3
20042059,acetaminofen,acetaminofen 3 g,ml,Jarabe,Cronofen,Novamed,Cronofen (Novamed) - frasco 100 ml - Cada 100 ml contiene: acetaminofen 3 g,Comercial,"13,617.58",Alto,3
20042140,buclizina,buclizina 25 mg,mg,Tableta o cápsula,Trianorexil,Quimica Patric,Trianorexil (Quimica Patric) - Cada tableta contiene: buclizina 25 mg,Comercial,723.30,Bajo,1
20042237,albendazol,albendazol 2 g,ml,Solución o suspensión oral,Albendazol,Memphis,Albendazol (Memphis) - frasco 20 ml - Cada 100 ml contiene: albendazol 2 g,Comercial,"3,418.18",Bajo,1
20042266,acetaminofen + fenilefrina + desloratadina,"desloratadina 0,025 g + acetaminofen 6,5 g + fenilefrina 0,2 g",ml,Jarabe,Congestex Kids,Novamed,"Congestex Kids (Novamed) - frasco 90 ml - Cada 100 ml contiene: desloratadina 0,025 g + acetaminofen 6,5 g + fenilefrina 0,2 g",Comercial,"19,865.00",Medio,2
20042301,cefalexina,cefalexina 250 mg,ml,Polvo para reconstituir a Solución o suspensión oral,Lospor,Global Marketing Farmaceutica,Lospor (Global Marketing Farmaceutica) - frasco 100 ml - Cada 5 ml contiene: cefalexina 250 mg,Comercial,"53,710.50",Alto,3
20042454,desonida,"desonida 0,05 g",g,Cremas o geles o ungüentos o pomadas o pastas o jaleas,Desonida,Mega Labs,"Desonida (Mega Labs) - tubo 15 g - Cada 100 g contiene: desonida 0,05 g",Comercial,"11,993.83",Medio,2
20042480,electrolitos con carbohidratos rehidratacion oral,electrolitos con carbohidratos rehidratacion oral,ml,Solución o suspensión oral,Hidraplus 45 Con Zinc,Tecnoquimicas,Hidraplus 45 Con Zinc (Tecnoquimicas) - frasco 400 ml - Cada 100 ml contiene: electrolitos con carbohidratos rehidratacion oral,Comercial,"7,072.08",Medio,2
20042629,electrolitos con carbohidratos,electrolitos con carbohidratos,ml,Solución o suspensión oral,Pediasol 30,Biofluidos & Farma,Pediasol 30 (Biofluidos & Farma) - frasco 250 ml - Cada 100 ml contiene: electrolitos con carbohidratos,Comercial,"5,930.00",Medio,2
20042667,sacaromices boulardi,sacaromices boulardi 250 mg,mg,Polvo para reconstituir a Solución o suspensión oral,Floratil,Biocodex,Floratil (Biocodex) - Cada sobre contiene: sacaromices boulardi 250 mg,Comercial,"9,995.25",Medio,2
20042824,naproxeno,naproxeno 500 mg,mg,Tableta o cápsula,Suprim-D,Anglopharma,Suprim-D (Anglopharma) - Cada tableta contiene: naproxeno 500 mg,Comercial,"1,200.00",Medio,2
20042850,acido fenofibrico y rosuvastatina,rosuvastatina 10 mg + fenofibrato 135 mg,mg,Tableta o cápsula,Stafen,Synthesis,Stafen (Synthesis) - Cada capsula contiene: rosuvastatina 10 mg + fenofibrato 135 mg,Comercial,"8,598.26",Medio,2
20042851,acetaminofen + cafeina + clorfeniramina,acetaminofen + cafeina + clorfeniramina,mg,Tableta o cápsula,Sintorex,Quimica Patric,Sintorex (Quimica Patric) - Cada capsula contiene: acetaminofen + cafeina + clorfeniramina,Comercial,657.37,Medio,2
20042873,levocetirizina,"levocetirizina 0,05 g",ml,Solución o suspensión oral,Levocetirizina,Genfar,"Levocetirizina (Genfar) - frasco 100 ml - Cada 100 ml contiene: levocetirizina 0,05 g",Comercial,"52,189.00",Alto,3
20042920,hialuronato de sodio,hialuronato de sodio 2 mg,ml,Solución o suspensión oftálmica,Toptear,Mega Labs,Toptear (Mega Labs) - frasco 10 ml - Cada 1 ml contiene: hialuronato de sodio 2 mg,Comercial,"44,225.08",Medio,2
20042955,carboximaltosa de hierro,carboximaltosa de hierro 500 mg,ml,Solución o suspensión inyectable,Ferinject,Vifor,Ferinject (Vifor) - vial 10 ml - Cada 10 ml contiene: carboximaltosa de hierro 500 mg,Comercial,"577,775.25",Medio,2
20042993,telmisartan,telmisartan 80 mg,mg,Tableta o cápsula,Cardiocap,Legrand,Cardiocap (Legrand) - Cada capsula contiene: telmisartan 80 mg,Comercial,727.27,Medio,2
20043181,dextrometorfano,"dextrometorfano 0,3 g",ml,Jarabe,Bucoxol,Bionutrect,"Bucoxol (Bionutrect) - frasco 120 ml - Cada 100 ml contiene: dextrometorfano 0,3 g",Comercial,"14,606.00",Alto,3
20043279,midazolam,midazolam 5 mg,ml,Solución o suspensión inyectable,Midazolam Inyectable,Corpaul,Midazolam Inyectable (Corpaul) - ampolla 5 ml - Cada 5 ml contiene: midazolam 5 mg,Comercial,68.09,Medio,2
20043317,hidroxido de aluminio,hidroxido de aluminio 6 g,ml,Solución o suspensión oral,Acibiogel,Eurofarma,Acibiogel (Eurofarma) - frasco 360 ml - Cada 100 ml contiene: hidroxido de aluminio 6 g,Comercial,"11,525.67",Bajo,1
20043340,ezetimibe y rosuvastatina,ezetimiba 10 mg + rosuvastatina 40 mg,mg,Tableta o cápsula,Rosuvina Legrand,Legrand,Rosuvina Legrand (Legrand) - Cada tableta contiene: ezetimiba 10 mg + rosuvastatina 40 mg,Comercial,"7,336.93",Medio,2
20043342,ezetimibe y rosuvastatina,ezetimiba 10 mg + rosuvastatina 10 mg,mg,Tableta o cápsula,Rosuvina Legrand,Legrand,Rosuvina Legrand (Legrand) - Cada tableta contiene: ezetimiba 10 mg + rosuvastatina 10 mg,Comercial,"5,642.86",Medio,2
20043344,ezetimibe y rosuvastatina,ezetimiba 10 mg + rosuvastatina 20 mg,mg,Tableta o cápsula,Rosuvina Legrand,Legrand,Rosuvina Legrand (Legrand) - Cada tableta contiene: ezetimiba 10 mg + rosuvastatina 20 mg,Comercial,"6,507.14",Bajo,1
20043354,cetirizina,cetirizina 100 mg,ml,Jarabe,Cetirizina,Ecar,Cetirizina (Ecar) - frasco 60 ml - Cada 100 ml contiene: cetirizina 100 mg,Comercial,"6,737.25",Bajo,1
20043363,metoclopramida,metoclopramida 10 mg,ml,Solución o suspensión inyectable,Metoclopramida,Corpaul,Metoclopramida (Corpaul) - bolsa 100 ml - Cada 100 ml contiene: metoclopramida 10 mg,Comercial,26.87,Bajo,1
20043390,irbesartan y amlodipino,irbesartan 150 mg + amlodipino 5 mg,mg,Tableta o cápsula,Aprovasc,Sanofi Aventis,Aprovasc (Sanofi Aventis) - Cada tableta contiene: irbesartan 150 mg + amlodipino 5 mg,Comercial,"8,042.89",Alto,3
20043398,irbesartan y amlodipino,irbersartan 300 mg + amlodipino 5 mg,mg,Tableta o cápsula,Aprovasc,Sanofi Aventis,Aprovasc (Sanofi Aventis) - Cada tableta contiene: irbersartan 300 mg + amlodipino 5 mg,Comercial,"8,953.05",Medio,2
20043400,irbesartan y amlodipino,irbersartan 150 mg + amlodipino 10 mg,mg,Tableta o cápsula,Aprovasc,Sanofi Aventis,Aprovasc (Sanofi Aventis) - Cada tableta contiene: irbersartan 150 mg + amlodipino 10 mg,Comercial,"7,989.13",Medio,2
20043405,irbesartan y amlodipino,irbesartan 300 mg + amlodipino 10 mg,mg,Tableta o cápsula,Aprovasc,Sanofi Aventis,Aprovasc (Sanofi Aventis) - Cada tableta contiene: irbesartan 300 mg + amlodipino 10 mg,Comercial,"8,967.56",Medio,2
20043426,hierro oxido sacaratado,hierro oxido sacaratado 100 mg,ml,Solución o suspensión inyectable,Hierro,Vitalis,Hierro (Vitalis) - ampolla 5 ml - Cada 5 ml contiene: hierro oxido sacaratado 100 mg,Comercial,"11,312.25",Alto,3
20043435,nicotina,nicotina 2 mg,mg,Tableta o cápsula,Nicorette,Janssen,Nicorette (Janssen) - Cada tableta contiene: nicotina 2 mg,Comercial,"1,914.81",Medio,2
20043436,nicotina,nicotina 4 mg,mg,Tableta o cápsula,Nicorette,Janssen,Nicorette (Janssen) - Cada tableta contiene: nicotina 4 mg,Comercial,"1,903.44",Medio,2
20043439,rifaximina,rifaximina 200 mg,mg,Tableta o cápsula,Rifax,Lafrancol,Rifax (Lafrancol) - Cada tableta contiene: rifaximina 200 mg,Comercial,"4,367.89",Medio,2
20043524,bicarbonato de sodio y alginato de sodio,"bicarbonato de sodio 2,67 g + alginato de sodio 2,5 g",ml,Solución o suspensión oral,Digevian,Med Line,"Digevian (Med Line) - frasco 360 ml - Cada 100 ml contiene: bicarbonato de sodio 2,67 g + alginato de sodio 2,5 g",Comercial,"20,551.25",Alto,3
20043549,clobetasol,"clobetasol 0,05 g",g,Cremas o geles o ungüentos o pomadas o pastas o jaleas,Trimicort,Profma,"Trimicort (Profma) - tubo 15 g - Cada 100 g contiene: clobetasol 0,05 g",Comercial,"15,953.63",Medio,2
20043643,dextrosa,dextrosa 5 g,ml,Solución o suspensión inyectable,Dextrosa Al 5%,Baxter,Dextrosa Al 5% (Baxter) - bolsa 500 ml - Cada 100 ml contiene: dextrosa 5 g,Comercial,"1,941.57",Bajo,1
20043686,quetiapina,quetiapina 300 mg,mg,Tableta o cápsula de liberación modificada,Ketian Xr,Procaps,Ketian Xr (Procaps) - Cada tableta contiene: quetiapina 300 mg,Comercial,"4,313.67",Alto,3
20043691,quetiapina,quetiapina 200 mg,mg,Tableta o cápsula de liberación modificada,Ketian Xr,Procaps,Ketian Xr (Procaps) - Cada tableta contiene: quetiapina 200 mg,Comercial,"2,933.33",Alto,3
20043696,quetiapina,quetiapina 400 mg,mg,Tableta o cápsula de liberación modificada,Ketian Xr,Procaps,Ketian Xr (Procaps) - Cada tableta contiene: quetiapina 400 mg,Comercial,"5,757.11",Alto,3
20043700,quetiapina,quetiapina 50 mg,mg,Tableta o cápsula de liberación modificada,Ketian Xr,Procaps,Ketian Xr (Procaps) - Cada tableta contiene: quetiapina 50 mg,Comercial,679.39,Alto,3
20043701,valsartán y amlodipino,valsartan 320 mg + amlodipino 5 mg,mg,Tableta o cápsula,Varteral Nf,Procaps,Varteral Nf (Procaps) - Cada capsula contiene: valsartan 320 mg + amlodipino 5 mg,Comercial,"3,982.99",Bajo,1
20043702,suero antiofídico,suero antiofídico 70 mg + suero antiofídico 10 mg,ml,Solución o suspensión inyectable,Suero Antiofidico Polivalente.,Instituto Nacional De Salud,Suero Antiofidico Polivalente. (Instituto Nacional De Salud) - vial 10 ml - Cada 10 ml contiene: suero antiofídico 70 mg + suero antiofídico 10 mg,Comercial,"132,750.00",Medio,2
20043703,valsartan + amlodipino + hidroclorotiazida.,"hidroclorotiazida 12,5 mg + valsartan 160 mg + amlodipino 10 mg",mg,Tableta o cápsula,Varteral Hct Nf,Procaps,"Varteral Hct Nf (Procaps) - Cada tableta contiene: hidroclorotiazida 12,5 mg + valsartan 160 mg + amlodipino 10 mg",Comercial,"1,720.00",Bajo,1
20043746,valsartán y amlodipino,amlodipino 10 mg + valsartan 320 mg,mg,Tableta o cápsula,Varteral Nf,Procaps,Varteral Nf (Procaps) - Cada capsula contiene: amlodipino 10 mg + valsartan 320 mg,Comercial,"3,796.16",Bajo,1
20043747,valsartan + amlodipino + hidroclorotiazida.,"valsartan 160 mg + hidroclorotiazida 12,5 mg + amlodipino 5 mg",mg,Tableta o cápsula,Varteral Hct,Procaps,"Varteral Hct (Procaps) - Cada tableta contiene: valsartan 160 mg + hidroclorotiazida 12,5 mg + amlodipino 5 mg",Comercial,"1,710.00",Bajo,1
20043928,amiodarona,amiodarona 200 mg,mg,Tableta o cápsula,Amiodarona,La Sante,Amiodarona (La Sante) - Cada tableta contiene: amiodarona 200 mg,Comercial,"3,251.68",Bajo,1
